burned;dim;empty;finalTime;forest;simulations
2;20;0.77;100;100;"1_execution_dim_20_empty_0.77_"
4;20;0.77;100;99;"2_execution_dim_20_empty_0.77_"
4;20;0.77;100;82;"3_execution_dim_20_empty_0.77_"
2;20;0.78;100;90;"1_execution_dim_20_empty_0.78_"
1;20;0.78;100;82;"2_execution_dim_20_empty_0.78_"
1;20;0.78;100;82;"3_execution_dim_20_empty_0.78_"
3;20;0.79;100;72;"1_execution_dim_20_empty_0.79_"
1;20;0.79;100;84;"2_execution_dim_20_empty_0.79_"
3;20;0.79;100;82;"3_execution_dim_20_empty_0.79_"
4;20;0.8;100;71;"1_execution_dim_20_empty_0.8_"
4;20;0.8;100;71;"2_execution_dim_20_empty_0.8_"
5;20;0.8;100;69;"3_execution_dim_20_empty_0.8_"
1;20;0.81;100;75;"1_execution_dim_20_empty_0.81_"
11;20;0.81;100;63;"2_execution_dim_20_empty_0.81_"
2;20;0.81;100;71;"3_execution_dim_20_empty_0.81_"
1;20;0.82;100;65;"1_execution_dim_20_empty_0.82_"
1;20;0.82;100;67;"2_execution_dim_20_empty_0.82_"
2;20;0.82;100;58;"3_execution_dim_20_empty_0.82_"
1;20;0.83;100;62;"1_execution_dim_20_empty_0.83_"
6;20;0.83;100;67;"2_execution_dim_20_empty_0.83_"
5;20;0.83;100;63;"3_execution_dim_20_empty_0.83_"
2;20;0.84;100;63;"1_execution_dim_20_empty_0.84_"
3;20;0.84;100;79;"2_execution_dim_20_empty_0.84_"
6;20;0.84;100;69;"3_execution_dim_20_empty_0.84_"
1;20;0.85;100;64;"1_execution_dim_20_empty_0.85_"
1;20;0.85;100;59;"2_execution_dim_20_empty_0.85_"
1;20;0.85;100;46;"3_execution_dim_20_empty_0.85_"
1;20;0.86;100;64;"1_execution_dim_20_empty_0.86_"
1;20;0.86;100;42;"2_execution_dim_20_empty_0.86_"
1;20;0.86;100;49;"3_execution_dim_20_empty_0.86_"
1;20;0.87;100;43;"1_execution_dim_20_empty_0.87_"
1;20;0.87;100;47;"2_execution_dim_20_empty_0.87_"
1;20;0.87;100;57;"3_execution_dim_20_empty_0.87_"
2;20;0.88;100;48;"1_execution_dim_20_empty_0.88_"
2;20;0.88;100;62;"2_execution_dim_20_empty_0.88_"
1;20;0.88;100;42;"3_execution_dim_20_empty_0.88_"
1;20;0.89;100;50;"1_execution_dim_20_empty_0.89_"
2;20;0.89;100;56;"2_execution_dim_20_empty_0.89_"
6;20;0.89;100;41;"3_execution_dim_20_empty_0.89_"
2;20;0.9;100;42;"1_execution_dim_20_empty_0.9_"
1;20;0.9;100;38;"2_execution_dim_20_empty_0.9_"
1;20;0.9;100;45;"3_execution_dim_20_empty_0.9_"
